raw_file,jpeg_file,model
7109775912.cr3,5208040331.jpg,Canon EOS R6 Mark III
3531010452.cr3,1468216231.jpg,Canon EOS R6 Mark III
4102422307.cr3,1184346117.jpg,Canon EOS R6 Mark III
4885762720.cr3,2337978584.jpg,Canon EOS R6 Mark III
8356367220.cr3,9991317836.jpg,Canon EOS R6 Mark III
1395149135.cr3,7913467737.jpg,Canon EOS R6 Mark III
2516438592.cr3,4366290282.jpg,Canon EOS R6 Mark III
9522728426.cr3,0342981531.jpg,Canon EOS R6 Mark III
8153398483.cr3,0977795265.jpg,Canon EOS R6 Mark III
2810089209.cr3,4850974522.jpg,Canon EOS R6 Mark III
8225852960.cr3,1532836019.jpg,Canon EOS R6 Mark III
5471418618.cr3,3674440265.jpg,Canon EOS R6 Mark III
0010172647.cr3,8487596167.jpg,Canon EOS R6 Mark III
0099982267.cr3,7521033399.jpg,Canon EOS R6 Mark III
8155758900.cr3,0865485082.jpg,Canon EOS R6 Mark III
2720074608.cr3,9979972716.jpg,Canon EOS R6 Mark III
2040395089.cr3,1948668535.jpg,Canon EOS R6 Mark III
2535492125.cr3,3332144651.jpg,Canon EOS R6 Mark III
8688916170.cr3,9728222686.jpg,Canon EOS R6 Mark III
2056138485.cr3,8842146877.jpg,Canon EOS R6 Mark III
7819859665.cr3,0826137393.jpg,Canon EOS R6 Mark III
0729768274.cr3,7946559931.jpg,Canon EOS R6 Mark III
4468532825.cr3,2996317663.jpg,Canon EOS R6 Mark III
5949413528.cr3,5918054668.jpg,Canon EOS R6 Mark III
5113111617.cr3,5287031456.jpg,Canon EOS R6 Mark III
3820414667.cr3,0746166910.jpg,Canon EOS R6 Mark III
4119891230.cr3,4672424770.jpg,Canon EOS R6 Mark III
5316265800.cr3,1703199184.jpg,Canon EOS R6 Mark III
8016365993.cr3,4234098206.jpg,Canon EOS R6 Mark III
7628773545.cr3,5756630057.jpg,Canon EOS R6 Mark III
1182028510.cr3,9383428103.jpg,Canon EOS R6 Mark III
8305668565.cr3,6539235820.jpg,Canon EOS R6 Mark III
5751867704.cr3,3813591474.jpg,Canon EOS R6 Mark III
3190365190.cr3,8230063854.jpg,Canon EOS R6 Mark III
9972926151.cr3,6945904990.jpg,Canon EOS R6 Mark III
8907283623.cr3,4952407399.jpg,Canon EOS R6 Mark III
4712322359.cr3,0538497721.jpg,Canon EOS R6 Mark III
3671106989.cr3,9013507178.jpg,Canon EOS R6 Mark III
0515115930.cr3,2500749618.jpg,Canon EOS R6 Mark III
9805523751.cr3,5230596314.jpg,Canon EOS R6 Mark III
0961853616.cr3,2320697033.jpg,Canon EOS R6 Mark III
9918487666.cr3,0099360894.jpg,Canon EOS R6 Mark III
5595458635.cr3,6999448175.jpg,Canon EOS R6 Mark III
9640912028.cr3,1429013375.jpg,Canon EOS R6 Mark III
6762077593.cr3,3421540372.jpg,Canon EOS R6 Mark III
8370862012.cr3,3789809432.jpg,Canon EOS R6 Mark III
3264648359.cr3,9806734503.jpg,Canon EOS R6 Mark III
0063345857.cr3,5318431336.jpg,Canon EOS R6 Mark III
9822681453.cr3,8781817575.jpg,Canon EOS R6 Mark III
6996850857.cr3,4635361324.jpg,Canon EOS R6 Mark III
0791951556.cr3,0864445527.jpg,Canon EOS R6 Mark III
7558913532.cr3,6937339430.jpg,Canon EOS R6 Mark III
9738333703.cr3,8307358825.jpg,Canon EOS R6 Mark III
9433168653.cr3,4344982174.jpg,Canon EOS R6 Mark III
6377037218.cr3,6047139920.jpg,Canon EOS R6 Mark III
8780432112.cr3,6831875017.jpg,Canon EOS R6 Mark III
7006890724.cr3,0988130920.jpg,Canon EOS R6 Mark III
9127903423.cr3,1161245860.jpg,Canon EOS R6 Mark III
8021044640.cr3,8549082274.jpg,Canon EOS R6 Mark III
4060076600.cr3,9098437515.jpg,Canon EOS R6 Mark III
0305241910.cr3,7084537278.jpg,Canon EOS R6 Mark III
1137186514.cr3,5420943699.jpg,Canon EOS R6 Mark III
0982395379.cr3,8159954902.jpg,Canon EOS R6 Mark III
9989200742.cr3,1106751249.jpg,Canon EOS R6 Mark III
1749498330.cr3,9515649924.jpg,Canon EOS R6 Mark III
0246934223.cr3,0201863919.jpg,Canon EOS R6 Mark III
8656483698.cr3,6586927072.jpg,Canon EOS R6 Mark III
3913103443.cr3,2004258647.jpg,Canon EOS R6 Mark III
8839490516.cr3,4366686658.jpg,Canon EOS R6 Mark III
0700233369.cr3,7171450930.jpg,Canon EOS R6 Mark III
7219176808.cr3,1433193843.jpg,Canon EOS R6 Mark III
6892484279.cr3,5224697810.jpg,Canon EOS R6 Mark III
8813316603.cr3,4573499569.jpg,Canon EOS R6 Mark III
7697110453.cr3,7154727904.jpg,Canon EOS R6 Mark III
8609404452.cr3,2798085312.jpg,Canon EOS R6 Mark III
7222021510.cr3,0834330435.jpg,Canon EOS R6 Mark III
9094235925.cr3,2877073329.jpg,Canon EOS R6 Mark III
9529691558.cr3,7039527855.jpg,Canon EOS R6 Mark III
5910185555.cr3,9925900016.jpg,Canon EOS R6 Mark III
5590151715.cr3,8670356456.jpg,Canon EOS R6 Mark III
9327411796.cr3,3965446526.jpg,Canon EOS R6 Mark III
6400425548.cr3,6428212116.jpg,Canon EOS R6 Mark III
2564970896.cr3,2426807630.jpg,Canon EOS R6 Mark III
9260496629.cr3,1085877717.jpg,Canon EOS R6 Mark III
1685854545.cr3,0664879662.jpg,Canon EOS R6 Mark III
3442551137.cr3,2272433171.jpg,Canon EOS R6 Mark III
5725483808.cr3,2577364710.jpg,Canon EOS R6 Mark III
0753056467.cr3,3758891393.jpg,Canon EOS R6 Mark III
7576036590.cr3,9103266840.jpg,Canon EOS R6 Mark III
5935650316.cr3,9701355721.jpg,Canon EOS R6 Mark III
5764459508.cr3,8555782227.jpg,Canon EOS R6 Mark III
4817236360.cr3,3580639263.jpg,Canon EOS R6 Mark III
5532084770.cr3,2340429171.jpg,Canon EOS R6 Mark III
7073542058.cr3,9479511452.jpg,Canon EOS R6 Mark III
1049619595.cr3,7427712647.jpg,Canon EOS R6 Mark III
9963138474.cr3,3156875770.jpg,Canon EOS R6 Mark III
5128500236.cr3,9866000392.jpg,Canon EOS R6 Mark III
5290753082.cr3,6353298804.jpg,Canon EOS R6 Mark III
3655367297.cr3,2487496898.jpg,Canon EOS R6 Mark III
