raw_file,jpeg_file,model
5487290102.fff,2903552511.jpg,Hasselblad X1D-50c
5398697083.fff,9963314210.jpg,Hasselblad X1D-50c
2993144500.fff,8773920789.jpg,Hasselblad X1D-50c
6134044643.fff,3581082986.jpg,Hasselblad X1D-50c
9785716518.fff,2786917624.jpg,Hasselblad X1D-50c
4854191574.fff,7517866630.jpg,Hasselblad X1D-50c
2917247186.fff,9119694731.jpg,Hasselblad X1D-50c
6368790292.fff,3094466682.jpg,Hasselblad X1D-50c
4403088145.fff,5296811749.jpg,Hasselblad X1D-50c
3723627484.fff,7559208087.jpg,Hasselblad X1D-50c
0030290896.fff,3327015257.jpg,Hasselblad X1D-50c
0119082704.fff,7349825056.jpg,Hasselblad X1D-50c
5129551951.fff,8923111808.jpg,Hasselblad X1D-50c
4581777837.fff,1608050300.jpg,Hasselblad X1D-50c
6193504365.fff,7476125762.jpg,Hasselblad X1D-50c
1942089064.fff,5990475799.jpg,Hasselblad X1D-50c
2196419275.fff,9179319185.jpg,Hasselblad X1D-50c
1934076773.fff,3481440475.jpg,Hasselblad X1D-50c
5151698970.fff,4125817692.jpg,Hasselblad X1D-50c
3667042327.fff,1505703022.jpg,Hasselblad X1D-50c
4640898172.fff,8776749961.jpg,Hasselblad X1D-50c
6507810936.3fr,4870420459.jpg,Hasselblad X1D
2648677099.3fr,1836081861.jpg,Hasselblad X1D
0281972813.3fr,0592850406.jpg,Hasselblad X1D
7873666735.3fr,7117150997 (1).jpg,Hasselblad X1D
3177190440.3fr,0126791254.jpg,Hasselblad X1D
6762931572.fff,6451840403.jpg,Hasselblad X1D II 50C
6661213999.fff,1533825576.jpg,Hasselblad X1D II 50C
5983653715.fff,7667647774.jpg,Hasselblad X1D II 50C
3528755502.fff,0387891658.jpg,Hasselblad X1D II 50C
7278483295.fff,3402246473.jpg,Hasselblad X1D II 50C
1613830905.3fr,1347342568.jpg,X2D 100C
9794577564.3fr,0900019486.jpg,X2D 100C
2007454227.3fr,9480254105.jpg,X2D 100C
4772995033.3fr,3143180309.jpg,X2D 100C
8687410810.3fr,1536085912.jpg,X2D 100C
9742542576.3fr,8199693081.jpg,X2D 100C
5095423645.3fr,2715756058.jpg,X2D 100C
8925806215.3fr,2701695764.jpg,X2D 100C
4386998851.3fr,2516452469.jpg,X2D 100C
5805005626.3fr,3628807872.jpg,X2D 100C
0149725587.3fr,0898962364.jpg,X2D 100C
8204307982.3fr,6646042785.jpg,X2D 100C
3832345792.3fr,3454726730.jpg,X2D 100C
5537240075.3fr,0012477635.jpg,X2D 100C
0587181218.3fr,0253621487.jpg,X2D 100C
7971015535.3fr,2538000907.jpg,X2D 100C
6311094775.3fr,0411311604.jpg,X2D 100C
6787000086.3fr,2921126274.jpg,X2D 100C
7826992126.3fr,1735498036.jpg,X2D 100C
5533274085.3fr,5367364984.jpg,X2D 100C
1094220000.3fr,7411457197.jpg,X2D 100C
8082395282.3fr,9801229748.jpg,X2D 100C
1932636179.3fr,6053674087.jpg,X2D 100C
3953661245.3fr,2066214993.jpg,X2D 100C
8127122405.3fr,8283607695.jpg,X2D 100C
5746737497.3fr,3547299535.jpg,X2D 100C
9515423899.3fr,4307602937.jpg,X2D 100C
6454535758.3fr,8646870132.jpg,X2D 100C
8742913299.3fr,9089137980.jpg,X2D 100C
7492975828.3fr,7285888480.jpg,X2D 100C
7321006825.3fr,6854579132.jpg,X2D 100C
6660888354.3fr,7199999768.jpg,X2D 100C
4236625428.3fr,3405794349.jpg,X2D 100C
8647104982.3fr,1581523261.jpg,X2D 100C
8581844385.3fr,9154326617.jpg,CFV 100C/907X
7121592185.3fr,0785968466.jpg,CFV 100C/907X
3766372330.3fr,6642450167.jpg,CFV 100C/907X
6340134840.3fr,5328769611.jpg,CFV 100C/907X
9928856380.3fr,0221658472.jpg,CFV 100C/907X
0758706524.3fr,1149838154.jpg,CFV 100C/907X
4087418227.3fr,0057448103.jpg,CFV 100C/907X
1063588653.3fr,3049280174.jpg,CFV 100C/907X
7732046028.3fr,8138215062.jpg,CFV 100C/907X
0908944042.3fr,7599721882.jpg,CFV 100C/907X
1917191504.3fr,6435002149.jpg,CFV 100C/907X
9011626130.3fr,3213753437.jpg,CFV 100C/907X
5310704161.3fr,5762692193.jpg,CFV 100C/907X
9095766713.3fr,7235468900.jpg,CFV 100C/907X
7406451876.3fr,0674806498.jpg,CFV 100C/907X
6519755969.3fr,7743476036.jpg,CFV 100C/907X
3333340029.3fr,6877279048.jpg,CFV 100C/907X
9479682988.3fr,0094614018.jpg,CFV 100C/907X
5385314660.3fr,8802335348.jpg,CFV 100C/907X
9247740424.3fr,1209888399.jpg,CFV 100C/907X
5715595764.3fr,1615322527.jpg,CFV 100C/907X
6704898202.3fr,3102859793.jpg,CFV 100C/907X
1755788551.3fr,3145372971.jpg,CFV 100C/907X
9070200412.3fr,3778481827.jpg,CFV 100C/907X
9318140329.3fr,3918494343.jpg,CFV 100C/907X
4589763049.3fr,1479441142.jpg,CFV 100C/907X
0229019868.3fr,1404328711.jpg,CFV 100C/907X
9063680763.3fr,4465167404.jpg,CFV 100C/907X
0550549226.3fr,7550202495.jpg,CFV 100C/907X
4925320846.3fr,1683639746.jpg,CFV 100C/907X
3153320186.3fr,7355367063.jpg,CFV 100C/907X
8154489376.3fr,6610963674.jpg,CFV 100C/907X
1772914463.3fr,3157274323.jpg,X2D II 100C
9470944008.3fr,1883561994.jpg,X2D II 100C
7766043485.3fr,6012232687.jpg,X2D II 100C
9171285561.3fr,8820387606.jpg,X2D II 100C
0174976521.3fr,0966382402.jpg,X2D II 100C
9984253103.3fr,2711718049.jpg,X2D II 100C
4665740686.3fr,3480208123.jpg,X2D II 100C
5648738585.3fr,9764738358.jpg,X2D II 100C
2859447626.3fr,4890374947.jpg,X2D II 100C
8321732863.3fr,6811314787.jpg,X2D II 100C
8786567187.3fr,7029278890.jpg,X2D II 100C
1188410135.3fr,6685332443.jpg,X2D II 100C
1097831660.3fr,7788768159.jpg,X2D II 100C
6994506799.3fr,8875871268.jpg,X2D II 100C
0656008199.3fr,3543359075.jpg,X2D II 100C
9860222596.3fr,8496700179.jpg,X2D II 100C
3595978679.3fr,5856482351.jpg,X2D II 100C
5752170428.3fr,3336893630.jpg,X2D II 100C
5819164927.3fr,4683623226.jpg,X2D II 100C
3981362314.3fr,1692371662.jpg,X2D II 100C
5727340084.3fr,0937312580.jpg,X2D II 100C
8671272247.3fr,3881433750.jpg,X2D II 100C
2462814331.3fr,0807336900.jpg,X2D II 100C
3350072742.3fr,9313443485.jpg,X2D II 100C
5591342209.3fr,4512621322.jpg,X2D II 100C
6834090523.3fr,7569585980.jpg,X2D II 100C
4744299311.3fr,5053560072.jpg,X2D II 100C
7201600472.3fr,0175016795.jpg,X2D II 100C
9470869741.3fr,2861606828.jpg,X2D II 100C
2860789325.3fr,2125997058.jpg,X2D II 100C
9576227135.3fr,3402641634.jpg,X2D II 100C
6037718610.3fr,1500652176.jpg,X2D II 100C
1833219685.3fr,4803860676.jpg,X2D II 100C
4066228771.3fr,1194662963.jpg,X2D II 100C
6492976229.3fr,9024236320.jpg,X2D II 100C
1325324446.3fr,3065612399.jpg,X2D II 100C
3252446019.3fr,7273275022.jpg,X2D II 100C
4754911759.3fr,1593578815.jpg,X2D II 100C
2699582533.3fr,1535244596.jpg,X2D II 100C
4823044443.3fr,9477895072.jpg,X2D II 100C
5778428085.3fr,2657535043.jpg,X2D II 100C
1449053263.3fr,9972868916.jpg,X2D II 100C
6041447870.3fr,1093646733.jpg,X2D II 100C
1393469859.3fr,0327795265.jpg,X2D II 100C
9509612646.3fr,6365032008.jpg,X2D II 100C
1517811662.3fr,9174721851.jpg,X2D II 100C
9061021189.3fr,9340930865.jpg,X2D II 100C
3849163954.3fr,4990971781.jpg,X2D II 100C
5890908324.3fr,3226888561.jpg,X2D II 100C
6841245935.3fr,1143261820.jpg,X2D II 100C
0041848181.3fr,1482254904.jpg,X2D II 100C
7916589754.3fr,7935711496.jpg,X2D II 100C
5233793886.3fr,9863682039.jpg,X2D II 100C
8578321983.3fr,2971006726.jpg,X2D II 100C
8879760543.3fr,0593310269.jpg,X2D II 100C
8628805055.3fr,5436123476.jpg,X2D II 100C
4777366646.3fr,4543730880.jpg,X2D II 100C
9489470585.3fr,4492367689.jpg,X2D II 100C
1191830997.3fr,5682397560.jpg,X2D II 100C
6362530819.3fr,9018732986.jpg,X2D II 100C
0512413224.3fr,7569091755.jpg,X2D II 100C
5417519226.3fr,9715716558.jpg,X2D II 100C
7749773231.3fr,4694613767.jpg,X2D II 100C
0880020828.3fr,5352638215.jpg,X2D II 100C
4467079479.3fr,6408955619.jpg,X2D II 100C
5891910993.3fr,0857913050.jpg,X2D II 100C
2160043708.3fr,9923905862.jpg,X2D II 100C
2171116719.3fr,7273186521.jpg,X2D II 100C
7883475232.3fr,1505718234.jpg,X2D II 100C
7682308461.3fr,4262127260.jpg,X2D II 100C
3975710611.3fr,5181004631.jpg,X2D II 100C
1298800240.3fr,8302910408.jpg,X2D II 100C
1703465868.3fr,4728129840.jpg,X2D II 100C
